0906_11:27:38,83.6794
0906_11:27:38,83.6755
0906_11:27:38,83.6737
0906_11:27:38,83.674
0906_11:27:39,83.6723
0906_11:27:39,83.6771
0906_11:27:39,83.6798
0906_11:27:39,83.682
0906_11:27:39,83.6828
0906_11:27:39,83.6812
0906_11:27:39,83.6828
0906_11:27:39,83.6829
0906_11:27:40,83.6819
0906_11:27:40,83.6835
0906_11:27:40,83.6826
0906_11:27:40,83.6842
0906_11:27:40,83.6853
0906_11:27:40,83.6855
0906_11:27:40,83.6842
0906_11:27:41,83.6843
0906_11:27:41,83.6847
0906_11:27:41,83.6826
0906_11:27:41,83.6845
0906_11:27:41,83.6821
0906_11:27:41,83.6841
0906_11:27:41,83.6833
0906_11:27:41,83.6851
0906_11:27:42,83.6837
0906_11:27:42,83.683
0906_11:27:42,83.6844
0906_11:27:42,83.6842
0906_11:27:42,83.6835
0906_11:27:42,83.6848
0906_11:27:42,83.6834
0906_11:27:42,83.6855
0906_11:27:43,83.6835
0906_11:27:43,83.6822
0906_11:27:43,83.684
0906_11:27:43,83.685
0906_11:27:43,83.6832
0906_11:27:43,83.6833
0906_11:27:43,83.6832
0906_11:27:43,83.6814
0906_11:27:44,83.6826
0906_11:27:44,83.6818
0906_11:27:44,83.6821
0906_11:27:44,83.682
0906_11:27:44,83.6808
0906_11:27:44,83.6818
0906_11:27:44,83.6823
0906_11:27:44,83.682
0906_11:27:45,83.6808
0906_11:27:45,83.6797
0906_11:27:45,83.6795
0906_11:27:45,83.6794
0906_11:27:45,83.6801
0906_11:27:45,83.6824
0906_11:27:45,83.679
0906_11:27:45,83.6808
0906_11:27:46,83.681
0906_11:27:46,83.6815
0906_11:27:46,83.6808
0906_11:27:46,83.6809
0906_11:27:46,83.681
0906_11:27:46,83.6807
0906_11:27:46,83.6817
0906_11:27:46,83.6821
0906_11:27:47,83.6809
0906_11:27:47,83.6813
0906_11:27:47,83.6791
0906_11:27:47,83.6803
0906_11:27:47,83.683
0906_11:27:47,83.6825
0906_11:27:47,83.6835
0906_11:27:47,83.6833
0906_11:27:48,83.6856
0906_11:27:48,83.6846
0906_11:27:48,83.6849
0906_11:27:48,83.6866
0906_11:27:48,83.684
0906_11:27:48,83.6859
0906_11:27:48,83.6845
0906_11:27:48,83.681
0906_11:27:49,83.6825
0906_11:27:49,83.6839
0906_11:27:49,83.6848
0906_11:27:49,83.6841
0906_11:27:49,83.684
0906_11:27:49,83.6844
0906_11:27:49,83.6882
0906_11:27:49,83.6862
0906_11:27:50,83.6843
0906_11:27:50,83.6866
0906_11:27:50,83.6865
0906_11:27:50,83.6866
0906_11:27:50,83.6876
0906_11:27:50,83.6873
0906_11:27:50,83.6881
0906_11:27:50,83.6902
0906_11:27:51,83.6893
0906_11:27:51,83.6887
0906_11:27:51,83.6892
0906_11:27:51,83.6895
0906_11:27:51,83.6886
0906_11:27:51,83.6871
0906_11:27:51,83.6871
0906_11:27:51,83.6879
0906_11:27:52,83.6885
0906_11:27:52,83.6902
0906_11:27:52,83.6922
0906_11:27:52,83.6887
0906_11:27:52,83.6894
0906_11:27:52,83.6917
0906_11:27:52,83.6914
0906_11:27:52,83.6868
0906_11:27:53,83.6877
0906_11:27:53,83.6887
0906_11:27:53,83.688
0906_11:27:53,83.6915
0906_11:27:53,83.69
0906_11:27:53,83.6914
0906_11:27:53,83.6904
0906_11:27:53,83.6904
0906_11:27:54,83.6903
0906_11:27:54,83.6887
0906_11:27:54,83.69
0906_11:27:54,83.6885
0906_11:27:54,83.6908
0906_11:27:54,83.692
0906_11:27:54,83.6893
0906_11:27:54,83.692
0906_11:27:55,83.694
0906_11:27:55,83.6914
0906_11:27:55,83.6901
0906_11:27:55,83.6897
0906_11:27:55,83.6912
0906_11:27:55,83.691
0906_11:27:55,83.6907
0906_11:27:55,83.6918
0906_11:27:56,83.6906
0906_11:27:56,83.6901
0906_11:27:56,83.6901
0906_11:27:56,83.6911
0906_11:27:56,83.6876
0906_11:27:56,83.6901
0906_11:27:56,83.6921
0906_11:27:56,83.691
0906_11:27:57,83.6913
0906_11:27:57,83.692
0906_11:27:57,83.6901
0906_11:27:57,83.6925
0906_11:27:57,83.69
0906_11:27:57,83.6911
0906_11:27:57,83.6911
0906_11:27:57,83.6925
0906_11:27:58,83.6911
0906_11:27:58,83.6925
0906_11:27:58,83.6905
0906_11:27:58,83.6911
0906_11:27:58,83.6913
0906_11:27:58,83.6904
0906_11:27:58,83.6905
0906_11:27:59,83.6904
0906_11:27:59,83.6914
0906_11:27:59,83.6916
0906_11:27:59,83.6909
0906_11:27:59,83.6889
0906_11:27:59,83.6906
0906_11:27:59,83.6911
0906_11:27:59,83.6919
0906_11:28:00,83.6924
0906_11:28:00,83.6932
0906_11:28:00,83.691
0906_11:28:00,83.693
0906_11:28:00,83.6889
0906_11:28:00,83.6898
0906_11:28:00,83.6895
0906_11:28:00,83.6924
0906_11:28:01,83.6919
